Clone	Chrom	kb	kbGenome	MCF7	SKBR3
RP11-82D16	1	2008.651	2008.651	-0.126905	NA
RP11-62M23	1	3367.844	3367.844	-0.151882	0.338461
RP11-111O5	1	4261.844	4261.844	NA	0.153862
RMC01P070	1	5918.606	5918.606	0.188023	0.469051
RP11-51B4	1	6068.98	6068.98	0.008556	0.442701
RP11-60J11	1	6817.006	6817.006	-0.170418	0.363942
BAL01B2579	1	7827.384	7827.384	-0.173289	0.456001
RP11-813J5	1	9421.348	9421.348	0.053585	0.324796
RMC01P009	1	9421.348	9421.348	-0.147964	0.557496
RP11-199O1	1	10283.609	10283.609	0.058993	-0.087674
RP11-188F7	1	12041.739	12041.739	-0.293385	-0.216031
RP11-178M15	1	13349.025	13349.025	-0.20431	-0.247912
RP11-219F4	1	14391.416	14391.416	-0.24799	-0.340155
RP11-145C4	1	18459.547	18459.547	-0.143576	-0.023317
BAL01B2584	1	18736.435	18736.435	-0.282323	-0.123485
RP11-224F8	1	19979.855	19979.855	-0.165094	NA
CTD-2128D14	1	21392.189	21392.189	-0.114518	-0.342868
RP11-139H5	1	21963.041	21963.041	-0.235701	-0.180143
CTD-2194B23	1	22506.932	22506.932	NA	NA
RP11-72I19	1	22833.889	22833.889	-0.038701	-0.110516
RP11-57F20	1	23268.937	23268.937	-0.023834	NA
RP11-285H13	1	26900.415	26900.415	-0.024502	-0.041929
CTD-2051J11	1	27415.682	27415.682	-0.340761	-0.159577
RMC01P057	1	27559.657	27559.657	NA	-0.244852
RP11-442N24	1	28520.079	28520.079	0.575009	0.00811
BAL01B2598	1	29813.398	29813.398	0.113226	-0.176025
RP11-62B23	1	30378.051	30378.051	-0.153476	-0.251959
RMC01P053	1	30688.467	30688.467	-0.269394	0.085853
RP11-104J13	1	30834.201	30834.201	-0.449728	-0.241183
CTD-2098K5	1	32219.404	32219.404	-0.064745	-0.151249
RMC01P083	1	33440.731	33440.731	NA	-0.22767
RP11-51A20	1	33624.156	33624.156	-0.208287	-0.239378
RP11-161A11	1	34017.533	34017.533	-0.231056	-0.187822
RP11-207P5	1	36935.014	36935.014	-0.046283	-0.234032
RP11-192A12	1	38667.919	38667.919	-0.086725	-0.115987
RMC01P52	1	39774.395	39774.395	-0.133831	-0.128924
RP11-88O2	1	41926.026	41926.026	-0.171163	0.237144
RP11-253M24	1	45170.554	45170.554	0.032667	NA
CTD-2100I14	1	47051.88	47051.88	-0.025246	0.251804
RP11-195G13	1	53697.647	53697.647	-0.088704	0.32525
RP11-55M23	1	54836.748	54836.748	-0.238398	-0.156045
RP11-149K24	1	56978.007	56978.007	-0.3166	0.245201
RP11-63G10	1	58618.502	58618.502	-0.502346	0.161774
CTD-2201I19	1	58618.502	58618.502	-0.987055	0.325774
CTD-2001C15	1	58618.502	58618.502	-0.15945	0.226851
RP11-110A23	1	60742.734	60742.734	-0.258717	0.176842
RP11-30A5	1	63059.464	63059.464	-0.159987	0.299488
RP11-265C4	1	63707.89	63707.89	-0.251588	0.27075
RP11-246N19	1	63824.624	63824.624	-0.280619	0.21616
CTD-2010C4	1	64641.284	64641.284	-0.170234	0.223696
RMC01P004	1	67523.433	67523.433	-0.871261	0.178754
RMC01P081	1	67881.562	67881.562	0.7454895	-0.04943
RP11-111N18	1	69091.615	69091.615	NA	NA
RP11-114K16	1	75135.647	75135.647	-0.145078	0.119756
RP11-80G24	1	77139.376	77139.376	-0.290828	0.219307
RP11-198H14	1	78406.687	78406.687	-0.33466	0.16384
RP11-267M21	1	79392.104	79392.104	-0.232901	0.082231
RP11-89A19	1	80576.651	80576.651	-0.353201	0.17567
RP11-6B16	1	81965.941	81965.941	NA	0.17486
RP11-246O4	1	82663.328	82663.328	-0.520254	NA
RP11-78E18	1	82691.316	82691.316	-0.382233	0.188439
RP11-211D4	1	85494.858	85494.858	-0.261312	0.323351
RP11-125P20	1	87786.532	87786.532	-0.569382	0.163905
CTD-2229N1	1	91580.437	91580.437	-0.580919	0.236125
RP11-138K16	1	99418.676	99418.676	-0.478351	0.206084
RP11-3D14	1	100485.231	100485.231	0.122483	0.121532
RP11-182H2	1	101148.227	101148.227	-0.442244	0.281358
RP11-178M11	1	101435.398	101435.398	NA	0.019347
RMC01P025	1	103452.176	103452.176	2.8811	-0.041061
RP11-270C12	1	107469.272	107469.272	2.750765	0.099514
RP11-96F24	1	109559.766	109559.766	0.575374	0.319881
CTD-2050A15	1	109752.183	109752.183	0.518175	0.288767
RP11-260A24	1	110122.646	110122.646	0.39806	0.397921
RP11-284N8	1	110394.479	110394.479	0.210991	0.297451
RP11-150K20	1	110631.007	110631.007	0.178295	0.220948
RP11-82A16	1	111806.6	111806.6	1.451685	0.300243
RP11-72M14	1	112455.871	112455.871	0.356778	0.312628
RP11-343L14	1	114301.529	114301.529	1.025685	0.195519
RP11-254K1	1	114325.088	114325.088	2.244525	0.205553
